date;T;Tmax;Tmin;Rh;Rh_max;Rh_min;solar_radiation_W_m2;Wind;Precipitations;Pressure_mbar
01/10/2021;25.3222916666667;30.95;22.8722222222222;1.75;19;1;25.6166666666667;0.04172;18.4404;1003.99796675
02/10/2021;25.2571527777778;31.0522222222222;22.705;2.16666666666667;15.2;1;42.5875;0.01043;21.971;1004.25650775
03/10/2021;26.9828935185185;33.6777777777778;22.3688888888889;10.4416666666667;46.3;1;64.625;0.1672525;23.7998;1002.993862375
04/10/2021;25.9993981481481;32.6127777777778;22.4888888888889;6.1875;34.6;1;51.8625;0.0629525;24.5872;1002.618469875
05/10/2021;27.3246296296296;33.6777777777778;23.16;7.70416666666667;38.6;1;43.2708333333333;0.02086;0;1001.322377875
06/10/2021;26.6398611111111;32.5622222222222;23.1122222222222;1.8625;18.2;1;41.4916666666667;0.02086;0;1001.543661875
07/10/2021;27.1959027777778;34.255;24.0977777777778;7.13333333333333;42.6;1;70.925;0.04172;27.4066;1002.134975625
08/10/2021;26.7730092592593;33.365;23.9538888888889;5.88333333333333;37.4;1;44;0.01043;5.9944;1003.477074375
09/10/2021;28.1860416666667;33.9922222222222;23.9777777777778;12.0166666666667;49.5;1;64.7208333333333;0.01043;0.4064;1002.8020735
10/10/2021;28.0714583333333;33.3127777777778;24.8227777777778;9.85833333333333;45.6;1;46.0291666666666;0;0;1002.52687975
11/10/2021;26.8421064814815;32.7677777777778;24.9922222222222;1.4875;9.4;1;30.6666666666667;0.02086;2.2098;1001.960262875
12/10/2021;27.5019675925926;33.9138888888889;24.2427777777778;9.3875;44.9;1;68.3708333333333;0.04172;0;1001.3434055
13/10/2021;27.9844212962963;34.5188888888889;22.8961111111111;13.4083333333333;53.1;1;62.8041666666667;0.01043;0;1001.03490625
14/10/2021;28.5529398148148;35.3422222222222;24.5322222222222;11.1;47.9;1;65.5583333333333;0.01043;0;1001.60618025
15/10/2021;25.816087962963;29.69;23.4;1.27083333333333;7.5;1;27.7458333333333;0;20.955;1001.47239375
16/10/2021;27.7090046296296;34.9422222222222;23.28;9.175;46;1;59.9875;0.01043;0;1001.659666625
17/10/2021;26.5993055555556;31.97;21.8188888888889;3.45833333333333;18.9;1;34.4666666666667;0.03129;61.0108;1002.85598325
18/10/2021;27.6813657407407;34.5722222222222;23.5211111111111;10.7416666666667;48.7;1;56.1333333333333;0.0733825;18.9992;1004.46480825
19/10/2021;26.4271527777778;32.6911111111111;23.4;2.625;11;1;44.0541666666666;0.1888575;21.0058;1006.832039
20/10/2021;25.9626388888889;31.9188888888889;23.0877777777778;4.975;32.7;1;27.2291666666667;0.04172;10.1854;1006.456787625
21/10/2021;27.1772685185185;34.1238888888889;22.6327777777778;5.43333333333333;34.4;1;50.0916666666666;0;7.7978;1005.26075325
22/10/2021;25.4366435185185;29.84;23.2322222222222;1.00416666666667;1.1;1;23.9458333333333;0;18.7706;1006.123168125
23/10/2021;27.5139583333333;34.6772222222222;22.6811111111111;11.4083333333333;49.6;1;54.3625;0;0.2032;1005.6313475
24/10/2021;27.7662731481481;34.5722222222222;23.3038888888889;10.3083333333333;45.5;1;52.0166666666666;0.06258;0;1004.36037575
25/10/2021;27.0769675925926;34.2288888888889;23.6888888888889;9.9;50.5;1;46.65;0.1359625;0;1003.451813
26/10/2021;26.3635416666667;31.9188888888889;24.0738888888889;2.71666666666667;16.8;1;25.8791666666667;0;2.5908;1003.723196375
27/10/2021;27.9833333333333;33.835;23.4722222222222;9.37916666666667;39.5;1;53.8958333333333;0.02086;0;1003.46846575
28/10/2021;26.0864814814815;33.1572222222222;22.3688888888889;4.87916666666667;35.5;1;46.7625;0.03129;42.0116;1004.36884325
29/10/2021;25.9152546296296;32.3811111111111;22.6088888888889;4.01666666666667;36;1;47.4333333333333;0.06258;7.4168;1005.2689385
30/10/2021;26.1114583333333;33.3127777777778;23.0161111111111;7.17916666666666;37.5;1;52.5875;0.03129;29.21;1005.827934625
31/10/2021;26.8463194444444;33.5477777777778;22.6327777777778;8.47916666666667;42;1;47.85;0;0.2032;1004.4560585
01/11/2021;26.6902083333333;32.7172222222222;23.1361111111111;7.5;37.4;1;59.1541666666666;0.16688;6.8072;1004.460715625
02/11/2021;25.39125;33.9661111111111;22.92;3.62083333333333;32.6;1;36.5;0.04172;10.8204;1004.452107
03/11/2021;27.5682175925926;33.94;22.585;10.2958333333333;44.9;1;43.1666666666667;0.04172;1.4224;1003.385343125
